Id;Position1F1S1;Position2F1S1;Position3F1S1;Position4F1S1;Position5F1S1;Position6F1S1;Position7F1S1;Position8F1S1;Position9F1S1;Position10F1S1;Position11F1S1;LocationX1F1S1;LocationY1F1S1;LocationX2F1S1;LocationY2F1S1;LocationX3F1S1;LocationY3F1S1;LocationX4F1S1;LocationY4F1S1;LocationX5F1S1;LocationY5F1S1;LocationX6F1S1;LocationY6F1S1;LocationX7F1S1;LocationY7F1S1;LocationX8F1S1;LocationY8F1S1;LocationX9F1S1;LocationY9F1S1;LocationX10F1S1;LocationY10F1S1;LocationX11F1S1;LocationY11F1S1;Position1F2S1;Position2F2S1;Position3F2S1;Position4F2S1;Position5F2S1;Position6F2S1;Position7F2S1;Position8F2S1;Position9F2S1;Position10F2S1;Position11F2S1;LocationX1F2S1;LocationY1F2S1;LocationX2F2S1;LocationY2F2S1;LocationX3F2S1;LocationY3F2S1;LocationX4F2S1;LocationY4F2S1;LocationX5F2S1;LocationY5F2S1;LocationX6F2S1;LocationY6F2S1;LocationX7F2S1;LocationY7F2S1;LocationX8F2S1;LocationY8F2S1;LocationX9F2S1;LocationY9F2S1;LocationX10F2S1;LocationY10F2S1;LocationX11F2S1;LocationY11F2S1;Position1F3S1;Position2F3S1;Position3F3S1;Position4F3S1;Position5F3S1;Position6F3S1;Position7F3S1;Position8F3S1;Position9F3S1;Position10F3S1;Position11F3S1;LocationX1F3S1;LocationY1F3S1;LocationX2F3S1;LocationY2F3S1;LocationX3F3S1;LocationY3F3S1;LocationX4F3S1;LocationY4F3S1;LocationX5F3S1;LocationY5F3S1;LocationX6F3S1;LocationY6F3S1;LocationX7F3S1;LocationY7F3S1;LocationX8F3S1;LocationY8F3S1;LocationX9F3S1;LocationY9F3S1;LocationX10F3S1;LocationY10F3S1;LocationX11F3S1;LocationY11F3S1;AttackingStylesS1;BuildUpS1;AttackingAreaS1;PositioningS1;SupportRangeS1;NumbersInAttackS1;DefensiveStylesS1;ContainmentAreaS1;PressuringS1;DefensiveLineS1;CompactnessS1;NumbersInDefenseS1;FluidS1;AdvancedAtt1S1;AdvancedAtt2S1;AdvancedDef1S1;AdvancedDef2S1;FFS1;Value1S1;Value2S1;Value3S1;Value4S1;Value5S1;Position1F1S2;Position2F1S2;Position3F1S2;Position4F1S2;Position5F1S2;Position6F1S2;Position7F1S2;Position8F1S2;Position9F1S2;Position10F1S2;Position11F1S2;LocationX1F1S2;LocationY1F1S2;LocationX2F1S2;LocationY2F1S2;LocationX3F1S2;LocationY3F1S2;LocationX4F1S2;LocationY4F1S2;LocationX5F1S2;LocationY5F1S2;LocationX6F1S2;LocationY6F1S2;LocationX7F1S2;LocationY7F1S2;LocationX8F1S2;LocationY8F1S2;LocationX9F1S2;LocationY9F1S2;LocationX10F1S2;LocationY10F1S2;LocationX11F1S2;LocationY11F1S2;Position1F2S2;Position2F2S2;Position3F2S2;Position4F2S2;Position5F2S2;Position6F2S2;Position7F2S2;Position8F2S2;Position9F2S2;Position10F2S2;Position11F2S2;LocationX1F2S2;LocationY1F2S2;LocationX2F2S2;LocationY2F2S2;LocationX3F2S2;LocationY3F2S2;LocationX4F2S2;LocationY4F2S2;LocationX5F2S2;LocationY5F2S2;LocationX6F2S2;LocationY6F2S2;LocationX7F2S2;LocationY7F2S2;LocationX8F2S2;LocationY8F2S2;LocationX9F2S2;LocationY9F2S2;LocationX10F2S2;LocationY10F2S2;LocationX11F2S2;LocationY11F2S2;Position1F3S2;Position2F3S2;Position3F3S2;Position4F3S2;Position5F3S2;Position6F3S2;Position7F3S2;Position8F3S2;Position9F3S2;Position10F3S2;Position11F3S2;LocationX1F3S2;LocationY1F3S2;LocationX2F3S2;LocationY2F3S2;LocationX3F3S2;LocationY3F3S2;LocationX4F3S2;LocationY4F3S2;LocationX5F3S2;LocationY5F3S2;LocationX6F3S2;LocationY6F3S2;LocationX7F3S2;LocationY7F3S2;LocationX8F3S2;LocationY8F3S2;LocationX9F3S2;LocationY9F3S2;LocationX10F3S2;LocationY10F3S2;LocationX11F3S2;LocationY11F3S2;AttackingStylesS2;BuildUpS2;AttackingAreaS2;PositioningS2;SupportRangeS2;NumbersInAttackS2;DefensiveStylesS2;ContainmentAreaS2;PressuringS2;DefensiveLineS2;CompactnessS2;NumbersInDefenseS2;FluidS2;AdvancedAtt1S2;AdvancedAtt2S2;AdvancedDef1S2;AdvancedDef2S2;FFS2;Value1S2;Value2S2;Value3S2;Value4S2;Value5S2;Position1F1S3;Position2F1S3;Position3F1S3;Position4F1S3;Position5F1S3;Position6F1S3;Position7F1S3;Position8F1S3;Position9F1S3;Position10F1S3;Position11F1S3;LocationX1F1S3;LocationY1F1S3;LocationX2F1S3;LocationY2F1S3;LocationX3F1S3;LocationY3F1S3;LocationX4F1S3;LocationY4F1S3;LocationX5F1S3;LocationY5F1S3;LocationX6F1S3;LocationY6F1S3;LocationX7F1S3;LocationY7F1S3;LocationX8F1S3;LocationY8F1S3;LocationX9F1S3;LocationY9F1S3;LocationX10F1S3;LocationY10F1S3;LocationX11F1S3;LocationY11F1S3;Position1F2S3;Position2F2S3;Position3F2S3;Position4F2S3;Position5F2S3;Position6F2S3;Position7F2S3;Position8F2S3;Position9F2S3;Position10F2S3;Position11F2S3;LocationX1F2S3;LocationY1F2S3;LocationX2F2S3;LocationY2F2S3;LocationX3F2S3;LocationY3F2S3;LocationX4F2S3;LocationY4F2S3;LocationX5F2S3;LocationY5F2S3;LocationX6F2S3;LocationY6F2S3;LocationX7F2S3;LocationY7F2S3;LocationX8F2S3;LocationY8F2S3;LocationX9F2S3;LocationY9F2S3;LocationX10F2S3;LocationY10F2S3;LocationX11F2S3;LocationY11F2S3;Position1F3S3;Position2F3S3;Position3F3S3;Position4F3S3;Position5F3S3;Position6F3S3;Position7F3S3;Position8F3S3;Position9F3S3;Position10F3S3;Position11F3S3;LocationX1F3S3;LocationY1F3S3;LocationX2F3S3;LocationY2F3S3;LocationX3F3S3;LocationY3F3S3;LocationX4F3S3;LocationY4F3S3;LocationX5F3S3;LocationY5F3S3;LocationX6F3S3;LocationY6F3S3;LocationX7F3S3;LocationY7F3S3;LocationX8F3S3;LocationY8F3S3;LocationX9F3S3;LocationY9F3S3;LocationX10F3S3;LocationY10F3S3;LocationX11F3S3;LocationY11F3S3;AttackingStylesS3;BuildUpS3;AttackingAreaS3;PositioningS3;SupportRangeS3;NumbersInAttackS3;DefensiveStylesS3;ContainmentAreaS3;PressuringS3;DefensiveLineS3;CompactnessS3;NumbersInDefenseS3;FluidS3;AdvancedAtt1S3;AdvancedAtt2S3;AdvancedDef1S3;AdvancedDef2S3;FFS3;Value1S3;Value2S3;Value3S3;Value4S3;Value5S3;IndexPlayer1;IndexPlayer2;IndexPlayer3;IndexPlayer4;IndexPlayer5;IndexPlayer6;IndexPlayer7;IndexPlayer8;IndexPlayer9;IndexPlayer10;IndexPlayer11;IndexPlayer12;IndexPlayer13;IndexPlayer14;IndexPlayer15;IndexPlayer16;IndexPlayer17;IndexPlayer18;IndexPlayer19;IndexPlayer20;IndexPlayer21;IndexPlayer22;IndexPlayer23;IndexPlayer24;IndexPlayer25;IndexPlayer26;IndexPlayer27;IndexPlayer28;IndexPlayer29;IndexPlayer30;IndexPlayer31;IndexPlayer32;IndexPlayer33;IndexPlayer34;IndexPlayer35;IndexPlayer36;IndexPlayer37;IndexPlayer38;IndexPlayer39;IndexPlayer40;Captain;ShortFK;LongFK;RightCorner;LeftCorner;Penalty;SecondKicker;Header1;Header2;Header3;AutoSubstitutions;OffsideTrap;SwitchTactics;AutoChangeAttDef;Value1;Value2;Zeros
359;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;25;72;25;31;36;86;36;18;43;52;0;1;1;3;2;4;8;8;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;30;62;30;42;36;86;36;18;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;25;72;25;31;35;88;35;16;43;52;0;1;1;1;3;3;0;0;1;4;2;2;0;9;0;16;0;0;0;0;0;0;0;0;1;1;3;2;4;4;7;6;8;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;32;53;42;53;0;1;1;3;2;5;5;10;9;8;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;35;86;35;17;32;53;42;53;0;1;1;3;2;4;4;7;6;8;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;32;53;42;53;0;1;1;1;5;2;0;0;1;6;2;2;0;9;0;16;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;25;72;25;31;36;86;36;18;43;52;0;1;1;3;2;4;8;8;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;30;62;30;42;36;86;36;18;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;25;72;25;31;35;88;35;16;43;52;0;1;1;1;3;3;0;0;1;4;2;2;0;9;0;16;0;0;0;0;0;0;0;0;4;6;10;7;12;14;13;19;20;26;1;3;5;8;11;15;16;23;17;21;22;27;2;28;18;29;9;24;25;30;31;32;33;34;35;36;37;38;39;10;19;14;19;19;19;7;255;255;255;0;0;0;0;0;0;0
361;0;1;1;1;4;5;5;7;6;12;12;3;52;10;52;10;73;10;31;19;52;22;26;22;78;33;88;33;16;43;66;43;38;0;1;1;1;4;5;5;10;9;12;12;3;52;10;52;10;73;10;31;19;52;22;26;22;78;35;86;35;17;43;66;43;38;0;1;1;1;4;4;4;7;6;12;12;3;52;10;52;10;73;10;31;19;52;22;26;22;78;27;94;27;10;43;66;43;38;1;1;1;0;6;2;1;0;1;7;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;2;5;5;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;68;24;36;32;52;43;67;43;38;0;1;1;1;3;2;5;5;11;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;68;24;36;35;52;43;67;43;38;0;1;1;1;3;2;4;4;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;22;67;22;35;32;52;43;67;43;38;1;1;1;0;7;2;1;0;1;6;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;5;5;7;6;12;12;3;52;10;52;10;73;10;31;19;52;22;26;22;78;33;88;33;16;43;66;43;38;0;1;1;1;4;5;5;10;9;12;12;3;52;10;52;10;73;10;31;19;52;22;26;22;78;35;86;35;17;43;66;43;38;0;1;1;1;4;4;4;7;6;12;12;3;52;10;52;10;73;10;31;19;52;22;26;22;78;27;94;27;10;43;66;43;38;1;1;1;0;6;2;1;0;1;7;3;2;0;0;0;0;0;0;0;0;0;0;0;0;6;3;4;11;14;15;16;18;25;23;2;5;8;32;7;9;21;12;13;20;22;24;1;28;33;29;10;31;17;26;19;27;30;34;35;36;37;38;39;6;18;4;15;15;23;15;255;255;255;0;0;0;0;0;0;0
362;0;1;1;1;3;2;4;4;5;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;65;24;40;32;52;43;66;43;38;0;1;1;1;7;6;4;4;8;12;12;3;52;10;52;10;73;10;31;26;91;26;13;24;65;24;40;34;52;43;66;43;38;0;1;1;1;3;2;4;4;5;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;65;24;40;32;52;43;66;43;38;0;0;1;0;7;2;0;1;0;7;3;2;0;139637976727552;0;139637976727552;0;0;0;0;0;0;0;0;1;1;1;3;2;4;4;5;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;65;24;40;32;52;43;66;43;38;0;1;1;1;3;2;4;4;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;65;24;40;34;52;43;66;43;38;0;1;1;1;3;2;4;4;5;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;65;24;40;32;52;43;66;43;38;0;0;0;0;3;2;0;1;0;7;6;3;0;4;0;139637976727552;0;0;0;0;0;0;0;0;1;1;1;3;2;4;4;5;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;65;24;40;32;52;43;66;43;38;0;1;1;1;7;6;4;4;8;12;12;3;52;10;52;10;73;10;31;26;91;26;13;24;65;24;40;34;52;43;66;43;38;0;1;1;1;3;2;4;4;5;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;65;24;40;32;52;43;66;43;38;0;0;1;0;7;2;0;1;0;7;3;2;0;139637976727552;0;139637976727552;0;0;0;0;0;0;0;0;3;5;4;9;7;13;14;15;19;22;1;2;6;34;25;10;12;16;28;33;23;24;26;27;29;8;11;32;35;17;18;20;21;30;31;36;37;38;39;5;9;9;9;9;9;7;255;255;255;0;0;0;0;0;0;0
363;0;1;1;3;2;5;5;7;6;8;12;3;52;10;63;10;41;12;89;12;15;22;70;22;33;30;89;30;15;28;52;42;52;0;1;1;3;2;5;5;7;6;11;12;3;52;10;63;10;41;12;89;12;15;22;70;22;33;34;89;34;15;35;52;42;52;0;1;1;3;2;4;4;7;6;8;12;3;52;10;63;10;41;12;89;12;15;21;69;21;34;30;88;30;15;27;52;43;53;0;1;0;0;5;2;1;1;0;4;7;2;0;3;0;12;0;0;0;0;0;0;0;0;1;1;3;2;4;4;7;6;8;12;3;52;10;63;10;41;12;89;12;15;20;62;20;42;30;89;30;15;30;52;42;52;0;1;1;3;2;5;5;7;6;11;12;3;52;10;63;10;41;12;89;12;15;20;62;20;42;30;89;30;15;35;52;42;52;0;1;1;3;2;4;4;7;6;8;12;3;52;10;63;10;41;12;89;12;15;20;62;20;42;30;89;30;15;30;52;42;52;0;1;0;0;6;2;1;1;1;3;8;3;0;3;0;12;0;0;0;0;0;0;0;0;1;1;3;2;5;5;7;6;8;12;3;52;10;63;10;41;12;89;12;15;22;70;22;33;30;89;30;15;28;52;42;52;0;1;1;3;2;5;5;7;6;11;12;3;52;10;63;10;41;12;89;12;15;22;70;22;33;34;89;34;15;35;52;42;52;0;1;1;3;2;4;4;7;6;8;12;3;52;10;63;10;41;12;89;12;15;21;69;21;34;30;88;30;15;27;52;43;53;0;1;0;0;5;2;1;1;0;4;7;2;0;3;0;12;0;0;0;0;0;0;0;0;5;2;10;7;12;13;15;19;17;21;1;3;6;8;9;14;16;22;18;20;23;28;26;4;25;32;33;27;11;31;29;24;30;34;35;36;37;38;39;5;13;13;13;13;21;7;255;255;255;0;0;0;0;0;0;0
364;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;26;67;26;37;33;88;33;16;43;66;43;38;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;26;93;26;10;43;66;43;38;0;1;1;0;6;2;0;0;0;7;5;2;0;2;0;16;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;7;6;12;3;52;11;64;11;40;13;88;13;16;19;52;25;68;25;36;25;94;25;9;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;19;52;25;68;25;36;35;89;35;15;43;52;0;1;1;3;2;4;5;5;7;6;12;3;52;11;64;11;40;13;88;13;16;19;52;25;68;25;36;25;94;25;9;43;52;0;1;1;0;4;2;0;1;0;6;6;3;0;2;0;16;0;0;0;0;0;0;0;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;26;67;26;37;33;88;33;16;43;66;43;38;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;26;93;26;10;43;66;43;38;0;1;1;0;6;2;0;0;0;7;5;2;0;2;0;16;0;0;0;0;0;0;0;1;5;3;9;8;12;15;10;21;20;25;0;4;6;7;34;14;16;17;23;26;24;33;2;27;29;30;28;11;13;36;31;35;18;19;22;32;37;38;39;15;9;9;9;9;9;8;255;255;255;0;0;0;0;0;0;0
366;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;1;1;3;2;5;5;10;9;12;12;3;52;10;63;10;41;15;89;15;15;20;64;20;40;35;90;35;15;43;66;43;38;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;0;1;0;5;3;1;0;1;3;4;2;0;7;0;11;0;0;0;0;0;0;0;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;65;43;38;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;65;43;38;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;65;43;38;0;0;1;0;6;2;1;1;1;2;5;3;0;7;0;11;0;0;0;0;0;0;0;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;1;1;3;2;5;5;10;9;12;12;3;52;10;63;10;41;15;89;15;15;20;64;20;40;35;90;35;15;43;66;43;38;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;0;1;0;5;3;1;0;1;3;4;2;0;7;0;11;0;0;0;0;0;0;0;0;5;3;9;8;14;15;10;7;24;26;1;4;6;29;12;16;20;22;17;19;23;25;2;32;27;35;30;11;13;31;33;34;18;21;28;36;37;38;39;14;15;15;15;15;26;5;255;255;255;0;0;0;0;0;0;0
370;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;25;76;25;28;38;92;38;12;43;52;0;1;1;3;2;4;8;8;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;28;77;28;26;38;92;38;12;43;52;0;1;1;3;2;4;5;5;7;6;12;3;52;10;63;10;41;12;89;12;15;18;52;25;76;25;28;34;94;34;10;43;52;1;1;0;1;5;3;0;0;1;7;4;2;0;4;0;16;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;7;6;12;3;52;10;63;10;41;12;89;12;15;18;52;25;76;25;28;32;90;32;14;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;25;76;25;28;38;92;38;12;43;52;0;1;1;3;2;4;5;5;7;6;12;3;52;10;63;10;41;12;89;12;15;18;52;25;76;25;28;34;92;34;12;43;52;1;1;0;1;6;2;0;0;0;6;8;3;0;4;0;16;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;25;76;25;28;38;92;38;12;43;52;0;1;1;3;2;4;8;8;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;28;77;28;26;38;92;38;12;43;52;0;1;1;3;2;4;5;5;7;6;12;3;52;10;63;10;41;12;89;12;15;18;52;25;76;25;28;34;94;34;10;43;52;1;1;0;1;5;3;0;0;1;7;4;2;0;4;0;16;0;0;0;0;0;0;0;0;3;6;9;8;14;11;13;20;30;24;1;2;4;7;10;15;12;18;22;23;17;25;27;28;26;5;29;21;16;19;31;32;33;34;35;36;37;38;39;14;6;11;11;11;6;11;255;255;255;0;0;0;0;0;0;0
377;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;23;66;23;38;30;87;30;18;43;67;43;38;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;23;68;23;36;34;94;34;10;43;67;43;38;0;1;1;3;2;4;4;7;6;11;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;39;66;43;38;1;1;1;0;5;2;1;0;1;5;5;3;0;5;0;12;0;0;0;0;0;0;0;0;1;1;3;2;4;4;7;6;11;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;40;66;43;38;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;1;1;3;2;4;4;7;6;11;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;40;66;43;38;1;1;1;0;6;2;1;1;0;4;6;2;0;5;0;12;0;0;0;0;0;0;0;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;23;66;23;38;30;87;30;18;43;67;43;38;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;23;68;23;36;34;94;34;10;43;67;43;38;0;1;1;3;2;4;4;7;6;11;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;39;66;43;38;1;1;1;0;5;2;1;0;1;5;5;3;0;5;0;12;0;0;0;0;0;0;0;0;3;7;10;8;16;17;20;19;22;25;1;4;5;9;13;14;15;18;21;26;23;24;2;6;28;27;11;12;29;30;31;32;33;34;35;36;37;38;39;7;17;17;17;17;17;16;255;255;255;0;0;0;0;0;0;0
378;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;1;1;3;2;4;4;10;9;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;35;92;35;13;43;66;43;38;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;1;1;1;0;7;2;0;0;1;7;6;3;0;7;0;11;0;0;0;0;0;0;0;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;25;66;25;38;30;87;30;18;43;66;43;38;0;1;1;3;2;4;4;7;6;11;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;38;68;43;38;0;0;1;0;7;2;1;0;0;6;7;3;0;7;0;11;0;0;0;0;0;0;0;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;0;1;1;3;2;4;4;10;9;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;35;92;35;13;43;66;43;38;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;87;30;18;43;66;43;38;1;1;1;0;7;2;0;0;1;7;6;3;0;7;0;11;0;0;0;0;0;0;0;1;8;3;12;9;15;14;23;20;26;27;0;5;7;6;11;13;16;19;21;25;24;28;2;4;10;31;17;32;30;18;22;33;29;34;35;36;37;38;39;15;23;15;23;23;27;12;255;255;255;0;0;0;0;0;0;0
382;0;1;1;1;3;2;4;5;5;8;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;30;79;30;25;32;52;43;52;0;1;1;1;7;6;4;8;8;8;12;3;52;10;52;10;73;10;31;19;89;19;15;19;52;30;79;30;25;32;52;43;52;0;1;1;1;3;2;4;5;5;5;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;30;79;30;25;30;52;43;52;0;0;1;0;4;2;1;0;1;5;6;2;0;1;0;12;0;0;0;0;0;0;0;0;1;1;1;3;2;4;5;5;8;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;30;79;30;25;32;52;43;52;0;1;1;1;3;2;4;5;5;11;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;30;79;30;25;35;53;43;52;0;1;1;1;3;2;4;4;4;8;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;23;78;23;26;32;52;43;52;0;0;1;0;6;2;1;1;1;7;8;3;0;1;0;12;0;0;0;0;0;0;0;0;1;1;1;3;2;4;5;5;8;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;30;79;30;25;32;52;43;52;0;1;1;1;7;6;4;8;8;8;12;3;52;10;52;10;73;10;31;19;89;19;15;19;52;30;79;30;25;32;52;43;52;0;1;1;1;3;2;4;5;5;5;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;30;79;30;25;30;52;43;52;0;0;1;0;4;2;1;0;1;5;6;2;0;1;0;12;0;0;0;0;0;0;0;0;6;4;3;10;7;13;18;17;20;24;1;5;30;8;11;12;14;15;19;27;23;25;2;32;9;16;28;21;33;22;29;26;31;34;35;36;37;38;39;0;18;17;18;18;24;17;255;255;255;0;0;0;0;0;0;0
383;0;1;1;1;3;2;5;5;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;68;24;36;32;52;43;67;43;38;0;1;1;1;7;6;5;5;8;12;12;3;52;10;52;10;73;10;31;24;91;24;11;24;68;24;36;34;53;43;67;43;38;0;1;1;1;3;2;4;4;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;21;67;21;38;32;52;43;67;43;38;0;0;1;0;5;2;1;1;1;4;8;2;0;1;0;139637976727552;0;0;0;0;0;0;0;0;1;1;1;3;2;4;4;5;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;68;24;36;32;52;43;67;43;38;0;1;1;1;3;2;5;5;11;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;68;24;36;35;52;43;67;43;38;0;1;1;1;3;2;4;4;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;68;24;36;32;52;43;67;43;38;0;0;1;0;6;2;1;1;1;3;4;3;0;1;0;139637976727552;0;0;0;0;0;0;0;0;1;1;1;3;2;5;5;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;24;68;24;36;32;52;43;67;43;38;0;1;1;1;7;6;5;5;8;12;12;3;52;10;52;10;73;10;31;24;91;24;11;24;68;24;36;34;53;43;67;43;38;0;1;1;1;3;2;4;4;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;21;67;21;38;32;52;43;67;43;38;0;0;1;0;5;2;1;1;1;4;8;2;0;1;0;139637976727552;0;0;0;0;0;0;0;0;5;4;3;10;7;14;11;18;20;21;1;6;28;8;9;26;13;15;17;22;23;24;2;12;29;16;19;25;27;30;31;32;33;34;35;36;37;38;39;11;7;14;18;18;21;18;255;255;255;0;0;0;0;0;0;0
