Id;Name;Country;Stadium;Coach;National;NameJapanese;NameSpanish;NameLatamSpanish;NameEnglish;NameUSEnglish;NameItalian;NamePortuguese;NameBrazilian;NameFrench;NameGerman;NameDutch;NameSwedish;NameRussian;NameGreek;NameTurkish;NameSimplifiedChinese;NameDatabase;NameEmpty1;NameEmpty2;NameEmpty3;NameEmpty4;ShortNameLicensed;ShortNameFake;Abbreviation;Commentary;StadiumFile;StadiumName;StadiumFileName;EmblemFile;EmblemFileName;Rival1;Rival2;Rival3;Banner1;Banner2;Banner3;Banner4;Kit1;Kit2;Kit3;Kit4;Kit5;Kit6;Kit7;Kit8;Kit9;Kit10;TeamColor1R;TeamColor1G;TeamColor1B;TeamColor2R;TeamColor2G;TeamColor2B;TurfPattern;SidelineColour;SeatColour;GoalStyle;NetPattern;GoalNettingDesign;GoalNettingColor1R;GoalNettingColor1G;GoalNettingColor1B;GoalNettingColor2R;GoalNettingColor2G;GoalNettingColor2B;Sponsor1;Sponsor2;Sponsor3;SponsorFile1;SponsorFile2;SponsorFile3;SponsorColorR;SponsorColorG;SponsorColorB;EditName;EditEmblem;EditStadium;EditStadiumName;EditStadiumFile;EditStadiumDetails;EditStadiumDetails2;EditRivals;EditBanners;EditTeamColors;EditCoach;EditSponsorFile;EditSponsorColors;EditSponsor;Edit1;Fake;LicencedPlayers;LicencedKits;LicencedCoach;LicencedCoach2;FeederTeam;ParentTeam;NonPlayableLeague;HasAnthem;AnthemStandingStyle;AnthemPlayersSinging;AnthemStandingAngle;Value1;Value2;Value3;Value4;Value5;Value6;Value7;ValueFF;Team2020_1;Team2020_2;Team2020_3;Team2020_4;Team2020_5;Team2020_6;Team2020_7;Team2020_8;Team2020_9;Team2020_10;Team2020_11;Country2020_1;Country2020_2;Country2020_3;Country2020_4;Country2020_5;Value2020_1;Value2020_2;Value2020_3;Value2020_4;Value2020_5;Value2020_6;Value2020_7;Value2020_8;Value2020_9;Value2020_10;Value2020_11;Value2020_12;Value2020_13;Value2020_14;Value2020_15;Value2020_16;Value2020_17
11;Switzerland;238;29;604;True;;;;;;;;;;;;;;;;;;;;;;;;SUI;-1;-1;Stade de Suisse;;-1;;262143;262143;262143;;;;;180224;180225;180352;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;59;7;9;63;63;63;0;1;7;4;2;1;59;7;9;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
12;Italy;215;6;100851;True;;;;;;;;;;;;;;;;;;;;;;;;ITA;-1;-1;Stadio Olimpico;;-1;;262143;262143;262143;;;;;196608;196609;196736;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;2;23;40;63;63;63;0;3;7;1;1;1;2;23;40;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
13;Czech Republic;202;29;36349;True;;;;;;;;;;;;;;;;;;;;;;;;CZE;-1;-1;Sinobo Stadium;;-1;;262143;262143;262143;;;;;212992;212993;213120;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;53;0;10;0;18;33;0;5;4;1;2;1;53;0;10;0;18;33;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
14;Germany;210;11;2400;True;;;;;;;;;;;;;;;;;;;;;;;;GER;-1;-1;Allianz Arena;;-1;;262143;262143;262143;;;;;229376;229377;229504;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;63;63;0;0;0;0;8;1;1;1;1;63;63;63;0;0;0;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
15;Denmark;203;29;71;True;;;;;;;;;;;;;;;;;;;;;;;;DEN;-1;-1;Telia Parken;;-1;;262143;262143;262143;;;;;245760;245761;245888;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;57;0;0;63;63;63;0;6;4;1;2;1;57;0;0;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
16;Norway;226;20;90;True;;;;;;;;;;;;;;;;;;;;;;;;NOR;-1;-1;Ullevaal Stadion;;-1;;262143;262143;262143;;;;;262144;262145;262272;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;59;7;9;9;10;25;0;5;4;4;1;1;59;7;9;9;10;25;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
17;Sweden;237;13;101231;True;;;;;;;;;;;;;;;;;;;;;;;;SWE;-1;-1;Friends Arena;;-1;;262143;262143;262143;;;;;278528;278529;278656;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;53;0;0;26;41;0;6;7;1;2;1;63;53;0;0;26;41;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
18;Finland;207;15;34782;True;;;;;;;;;;;;;;;;;;;;;;;;FIN;-1;-1;Tampere Stadium;;-1;;262143;262143;262143;;;;;294912;294913;295040;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;63;63;0;13;32;0;3;1;1;1;1;63;63;63;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
19;Poland;227;29;35739;True;;;;;;;;;;;;;;;;;;;;;;;;POL;-1;-1;PGE Narodowy;;-1;;262143;262143;262143;;;;;311296;311297;311424;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;59;7;9;63;63;63;0;6;4;1;2;1;59;7;9;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
20;Slovakia;234;29;90024;True;;;;;;;;;;;;;;;;;;;;;;;;SVK;-1;-1;Stadion Antona Malatinskeho;;-1;;262143;262143;262143;;;;;327680;327681;327808;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;63;63;0;19;40;0;6;4;1;2;1;63;63;63;0;19;40;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
21;Austria;194;29;151;True;;;;;;;;;;;;;;;;;;;;;;;;AUT;-1;-1;Ernst Happel Stadium;;-1;;262143;262143;262143;;;;;344064;344065;344192;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;57;0;0;63;63;63;0;3;4;1;1;1;57;0;0;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
22;Hungary;212;15;36286;True;;;;;;;;;;;;;;;;;;;;;;;;HUN;-1;-1;Groupama Arena;;-1;;262143;262143;262143;;;;;360448;360449;360576;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;57;0;0;0;32;18;0;2;5;1;1;1;57;0;0;0;32;18;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
23;Slovenia;235;29;36348;True;;;;;;;;;;;;;;;;;;;;;;;;SVN;-1;-1;Stozice Stadium;;-1;;262143;262143;262143;;;;;376832;376833;376960;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;63;63;8;17;9;0;6;8;4;1;7;63;63;63;8;17;9;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
24;Croatia;200;17;606;True;;;;;;;;;;;;;;;;;;;;;;;;CRO;-1;-1;Stadion Poljud;;-1;;262143;262143;262143;;;;;393216;393217;393344;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;57;0;0;63;63;63;0;8;7;1;1;1;57;0;0;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
26;Romania;229;29;119;True;;;;;;;;;;;;;;;;;;;;;;;;ROU;-1;-1;National Arena;;-1;;262143;262143;262143;;;;;425984;425985;426112;425986;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;55;0;59;7;9;0;1;2;1;1;1;63;55;0;59;7;9;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
27;Bulgaria;199;20;100123;True;;;;;;;;;;;;;;;;;;;;;;;;BUL;-1;-1;Vasil Levski National Stadium;;-1;;262143;262143;262143;;;;;442368;442369;442496;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;0;38;28;57;0;0;0;3;6;1;1;1;0;38;28;57;0;0;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
28;Greece;211;29;102287;True;;;;;;;;;;;;;;;;;;;;;;;;GRE;-1;-1;Main Olympic Staium;;-1;;262143;262143;262143;;;;;458752;458753;458880;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;63;63;0;15;31;0;4;4;1;1;1;63;63;63;0;15;31;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
29;Turkey;190;15;100178;True;;;;;;;;;;;;;;;;;;;;;;;;TUR;-1;-1;Konya Buyuksehir Stadium;;-1;;262143;262143;262143;;;;;475136;475137;475264;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;59;2;7;63;63;63;0;3;1;1;1;1;59;2;7;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
30;Ukraine;239;29;102303;True;;;;;;;;;;;;;;;;;;;;;;;;UKR;-1;-1;National Sports Complex;;-1;;262143;262143;262143;;;;;491520;491521;491648;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;57;0;0;22;42;0;7;2;1;1;1;63;57;0;0;22;42;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
31;Russia;230;15;489;True;;;;;;;;;;;;;;;;;;;;;;;;RUS;-1;-1;Luzhniki Stadium;;-1;;262143;262143;262143;;;;;507904;507905;508032;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;59;7;9;0;27;45;0;7;7;4;1;1;59;7;9;0;27;45;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
32;Morocco;76;15;121596;True;;;;;;;;;;;;;;;;;;;;;;;;MAR;-1;-1;Stade Mohammed V;;-1;;262143;262143;262143;;;;;524288;524289;524416;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;12;42;32;59;6;9;0;2;7;1;1;1;12;42;32;59;6;9;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
33;Tunisia;92;29;294;True;;;;;;;;;;;;;;;;;;;;;;;;TUN;-1;-1;Stade Olympique de Rades;;-1;;262143;262143;262143;;;;;540672;540673;540800;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;56;0;6;63;63;63;0;2;4;1;1;1;56;0;6;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
34;Egypt;58;15;34720;True;;;;;;;;;;;;;;;;;;;;;;;;EGY;-1;-1;Cairo International Stadium;;-1;;262143;262143;262143;;;;;557056;557057;557184;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;61;6;11;63;63;63;0;7;1;1;2;1;61;6;11;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
35;Nigeria;80;15;35952;True;;;;;;;;;;;;;;;;;;;;;;;;NGA;-1;-1;Moshood Abiola National Stadium;;-1;;262143;262143;262143;;;;;573440;573441;573568;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;7;33;18;63;63;63;0;3;4;1;1;1;7;33;18;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
36;Cameroon;50;15;100112;True;;;;;;;;;;;;;;;;;;;;;;;;CMR;-1;-1;Stade Ahmadou Ahidjo;;-1;;262143;262143;262143;;;;;589824;589825;589952;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;16;36;14;55;0;6;0;3;2;3;1;1;16;36;14;55;0;6;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
37;South Africa;87;29;36638;True;;;;;;;;;;;;;;;;;;;;;;;;ZAF;-1;-1;Ellis Park Stadium;;-1;;262143;262143;262143;;;;;606208;606209;606336;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;54;1;7;39;16;0;3;3;4;1;1;63;54;1;7;39;16;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
38;Senegal;83;15;100087;True;;;;;;;;;;;;;;;;;;;;;;;;SEN;-1;-1;Stade Leopold Sedar Senghor;;-1;;262143;262143;262143;;;;;622592;622593;622720;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;7;26;9;63;63;0;0;3;1;1;1;1;7;26;9;63;63;0;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
