Id;Name;Id Club;Club;Id National;National
934;Ronald De Boer;901; Fireblast Classics;0;
962;Francesco Toldo;901; Fireblast Classics;0;
963;Paolo Maldini;906; Meanmachine Classics;0;
964;Alessandro Nesta;904; Wildcats Classics;0;
965;Fabio Cannavaro;906; Meanmachine Classics;0;
967;Demetrio Albertini;901; Fireblast Classics;0;
970;Francesco Totti;904; Wildcats Classics;0;
972;Filippo Inzaghi;906; Meanmachine Classics;0;
978;Gennaro Gattuso;902; Warmstorm Classics;0;
979;Gianluca Zambrotta;908; Thunderstrike Classics;0;
983;Gianluigi Buffon;908; Thunderstrike Classics;0;
990;Pavel Nedvěd;906; Meanmachine Classics;0;
1001;Tomas Rosický;908; Thunderstrike Classics;0;
1006;Oliver Kahn;906; Meanmachine Classics;0;
1010;Michael Ballack;906; Meanmachine Classics;0;
1028;Peter Schmeichel;906; Meanmachine Classics;0;
1038;Jon Dahl Tomasson;908; Thunderstrike Classics;0;
1066;John Arne Riise;908; Thunderstrike Classics;0;
1080;Henrik Larsson;901; Fireblast Classics;0;
1096;Sami Hyypiä;908; Thunderstrike Classics;0;
1102;Jari Litmanen;906; Meanmachine Classics;0;
1207;Ali Daei;900; Rainmakers Classics;0;
1248;Siniša Mihajlović;905; Screambeem Classics;0;
1255;Dejan Stanković;903; Powerball Classics;0;
1275;Cristian Chivu;905; Screambeem Classics;0;
1287;Adrian Mutu;909; Monsters Classics;0;
1310;Dimitar Berbatov;903; Powerball Classics;0;
1352;Emre Belözoğlu;904; Wildcats Classics;0;
1364;John Barnes;908; Thunderstrike Classics;0;
1365;Andriy Shevchenko;906; Meanmachine Classics;0;
1366;Bobby Charlton;900; Rainmakers Classics;0;
1405;Berti Vogts;903; Powerball Classics;0;
1406;Bernd Schuster;904; Wildcats Classics;0;
1410;Paul Breitner;903; Powerball Classics;0;
1414;Gerd Muller;904; Wildcats Classics;0;
1426;Jürgen Klinsmann;904; Wildcats Classics;0;
1447;Alessandro Mazzola;900; Rainmakers Classics;0;
1460;Rob Rensenbrink;903; Powerball Classics;0;
1474;Giacinto Facchetti;904; Wildcats Classics;0;
1475;Jay-Jay Okocha;907; Predators Classics;0;
1476;Nwankwo Kanu;907; Predators Classics;0;
1487;Tijani Babangida;908; Thunderstrike Classics;0;
1498;Samuel Eto'o;905; Screambeem Classics;0;
1499;Patrick Mboma;907; Predators Classics;0;
1509;Emile Heskey;906; Meanmachine Classics;0;
1555;Jorge Campos;907; Predators Classics;0;
1600;Iván Córdoba;907; Predators Classics;0;
1621;Dida;900; Rainmakers Classics;0;
1624;Roberto Carlos;907; Predators Classics;0;
1625;Cafu;907; Predators Classics;0;
1628;Rivaldo;902; Warmstorm Classics;0;
1630;Romário;907; Predators Classics;0;
1631;Ronaldinho G.;902; Warmstorm Classics;0;
1632;Aldair;907; Predators Classics;0;
1633;Lucio;902; Warmstorm Classics;0;
1634;Fernando Morientes;904; Wildcats Classics;0;
1638;Ze Roberto;900; Rainmakers Classics;0;
1653;Claudio Pizarro;905; Screambeem Classics;0;
1674;Marcelo Salas;907; Predators Classics;0;
1675;Iván Zamorano;907; Predators Classics;0;
1684;Ole Solskjaer;902; Warmstorm Classics;0;
1687;Chilavert;907; Predators Classics;0;
1691;Francisco Arce;907; Predators Classics;0;
1695;Jimmy Hasselbaink;906; Meanmachine Classics;0;
1697;Roque Santa Cruz;2198;Club Libertad;0;
1718;Álvaro Recoba;903; Powerball Classics;0;
1732;Walter Samuel;908; Thunderstrike Classics;0;
1733;Roberto Ayala;907; Predators Classics;0;
1735;Diego Simeone;907; Predators Classics;0;
1737;Javier Zanetti;901; Fireblast Classics;0;
1738;Juan Sebastián Verón;904; Wildcats Classics;0;
1741;Gabriel Batistuta;907; Predators Classics;0;
1745;Matías Almeyda;907; Predators Classics;0;
1747;Pablo Aimar;903; Powerball Classics;0;
1750;Hernán Crespo;908; Thunderstrike Classics;0;
1754;Hidetoshi Nakata;907; Predators Classics;0;
1770;Ahn Jung-Hwan;900; Rainmakers Classics;0;
1881;Denis Irwin;903; Powerball Classics;0;
1892;Dennis Bergkamp;906; Meanmachine Classics;0;
1894;Ashley Cole;908; Thunderstrike Classics;0;
1910;Eidur Gudjohnsen;904; Wildcats Classics;0;
1913;Jamie Carragher;908; Thunderstrike Classics;0;
1938;Michael Carrick;900; Rainmakers Classics;0;
1948;Frank Lampard;902; Warmstorm Classics;0;
1957;Alan Shearer;906; Meanmachine Classics;0;
1971;Luis Enrique;901; Fireblast Classics;0;
1981;Guti Hernández;908; Thunderstrike Classics;0;
2040;George Weah;907; Predators Classics;0;
2089;R. van Der Vaart;905; Screambeem Classics;0;
2120;Mark van Bommel;900; Rainmakers Classics;0;
2128;Ruud Van Nistelrooy;906; Meanmachine Classics;0;
2131;Laurent Blanc;901; Fireblast Classics;0;
2137;Ronaldo;907; Predators Classics;0;
2138;Andrea Pirlo;900; Rainmakers Classics;0;
2150;Christian Abbiati;900; Rainmakers Classics;0;
2155;Redondo;907; Predators Classics;0;
2159;Zvonimir Boban;906; Meanmachine Classics;0;
2210;Jürgen Kohler;901; Fireblast Classics;0;
2214;Lars Ricken;900; Rainmakers Classics;0;
2250;Helton da Silva;900; Rainmakers Classics;0;
2257;Juninho P.;900; Rainmakers Classics;0;
2311;J. R. Riquelme;901; Fireblast Classics;0;
2326;Taffarel;907; Predators Classics;0;
2329;Sol Campbell;903; Powerball Classics;0;
2331;Lothar Matthäus;903; Powerball Classics;0;
2334;Dunga;907; Predators Classics;0;
2337;Gheorghe Hagi;902; Warmstorm Classics;0;
2339;Valderrama;907; Predators Classics;0;
2340;Rái;900; Rainmakers Classics;0;
2344;Roberto Baggio;906; Meanmachine Classics;0;
2345;Antonio Cassano;900; Rainmakers Classics;0;
2349;Hristo Stoichkov;902; Warmstorm Classics;0;
2379;Ronald Koeman;901; Fireblast Classics;0;
2380;Frank Rijkaard;904; Wildcats Classics;0;
2388;Ruud Gullit;902; Warmstorm Classics;0;
2397;Johan Cruijff;901; Fireblast Classics;0;
2404;Franz Beckenbauer;903; Powerball Classics;0;
2405;K. Heinz Rummenigge;900; Rainmakers Classics;0;
2429;Socrates;904; Wildcats Classics;0;
2430;Zico;904; Wildcats Classics;0;
2453;Diego Maradona;902; Warmstorm Classics;0;
2489;Eiji Kawashima;0;;0;
2511;Kakhaber Kaladze;902; Warmstorm Classics;0;
2530;Daniel Van Buyten;900; Rainmakers Classics;0;
2533;Marco Materazzi;904; Wildcats Classics;0;
2560;John Terry;903; Powerball Classics;0;
2579;Gabriel Heinze;900; Rainmakers Classics;0;
2586;Zlatan Ibrahimović;901; Fireblast Classics;0;
2674;Miroslav Klose;902; Warmstorm Classics;0;
2761;Christian Vieri;908; Thunderstrike Classics;0;
2783;Michel Platini;903; Powerball Classics;0;
2785;Eric Cantona;903; Powerball Classics;0;
2808;Franco Baresi;905; Screambeem Classics;0;
2810;Giuseppe Bergomi;902; Warmstorm Classics;0;
2827;Bryan Robson;905; Screambeem Classics;0;
2828;Gary Lineker;902; Warmstorm Classics;0;
2829;Kevin Keegan;904; Wildcats Classics;0;
2840;Kenny Dalglish;904; Wildcats Classics;0;
2841;Denis Law;902; Warmstorm Classics;0;
2843;Ian Rush;901; Fireblast Classics;0;
2920;Santiago Solari;902; Warmstorm Classics;0;
2921;Kily González;908; Thunderstrike Classics;0;
2957;Paolo Di Canio;901; Fireblast Classics;0;
3050;Fabio Grosso;900; Rainmakers Classics;0;
3191;Petr Čech;903; Powerball Classics;0;
3214;Eric Abidal;900; Rainmakers Classics;0;
3222;M. Stekelenburg;908; Thunderstrike Classics;0;
3239;Bebeto;904; Wildcats Classics;0;
3305;Makoto Hasebe;909; Monsters Classics;0;
3497;Diego Forlán;905; Screambeem Classics;0;
3522;Jermain Defoe;907; Predators Classics;0;
3577;Johnny Heitinga;900; Rainmakers Classics;0;
3579;Steven Pienaar;904; Wildcats Classics;0;
3582;Robin Van Persie;905; Screambeem Classics;0;
3603;Daniele De Rossi;902; Warmstorm Classics;0;
3613;Alou Diarra;905; Screambeem Classics;0;
3649;Savo Milosevic;908; Thunderstrike Classics;0;
3681;Esteban Cambiasso;904; Wildcats Classics;0;
3682;Martín Demichelis;904; Wildcats Classics;0;
3712;Carlos Tévez;907; Predators Classics;0;
3741;Joaquín;900; Rainmakers Classics;0;
3758;Kaka;903; Powerball Classics;0;
3806;Djibril Cissé;908; Thunderstrike Classics;0;
3958;Mauro Camoranesi;900; Rainmakers Classics;0;
3997;Arjen Robben;905; Screambeem Classics;0;
4013;Patrice Evra;905; Screambeem Classics;0;
4039;Fábio Maciel;1249;Fluminense FC;0;
4071;Thiago Motta;905; Screambeem Classics;0;
4072;Victor Valdes;904; Wildcats Classics;0;
4073;Andres Iniesta;909; Monsters Classics;0;
4152;Wayne Rooney;904; Wildcats Classics;0;
4193;Fabricio Coloccini;905; Screambeem Classics;0;
4208;Fernando Torres;905; Screambeem Classics;0;
4251;Xabi Alonso;902; Warmstorm Classics;0;
4261;Philippe Mexès;903; Powerball Classics;0;
4280;Hakan Sükür;903; Powerball Classics;0;
4347;Luca Toni;903; Powerball Classics;0;
4414;Sulley Muntari;907; Predators Classics;0;
4494;Tiago;905; Screambeem Classics;0;
4498;Ricardo Carvalho;908; Thunderstrike Classics;0;
4502;Deco;902; Warmstorm Classics;0;
4522;Cristiano Ronaldo;2577;Al Nassr FC;0;
4526;Ricardo Quaresma;907; Predators Classics;0;
4564;Eusébio;908; Thunderstrike Classics;0;
4569;Roger Milla;908; Thunderstrike Classics;0;
4582;Mané Garrincha;900; Rainmakers Classics;0;
4590;Lev Yashin;901; Fireblast Classics;0;
4598;Antonio Di Natale;906; Meanmachine Classics;0;
4601;Michael Laudrup;908; Thunderstrike Classics;0;
4614;George Best;903; Powerball Classics;0;
4637;Sérgio Conceição;908; Thunderstrike Classics;0;
4872;Robert Huth;902; Warmstorm Classics;0;
4882;James Milner;377;Brighton & Hove Albion;0;
4884;Glen Johnson;905; Screambeem Classics;0;
4918;Wesley Sneijder;905; Screambeem Classics;0;
4934;Bastian Schweinsteiger;905; Screambeem Classics;0;
5029;Nemanja Vidic;901; Fireblast Classics;0;
5106;Jefferson Farfán;909; Monsters Classics;0;
5226;Yuki Nakashima;0;;0;
5518;Raúl Albiol;4241;Pisa Sporting Club;0;
5537;Andrea Barzagli;905; Screambeem Classics;0;
5558;Didier Drogba;900; Rainmakers Classics;0;
5577;Michael Essien;901; Fireblast Classics;0;
5578;Florent Malouda;908; Thunderstrike Classics;0;
5717;José Bosingwa;902; Warmstorm Classics;0;
5770;Vincent Kompany;904; Wildcats Classics;0;
5778;Igor Akinfeev;1217;CSKA Moskva;0;
5786;Andrey Arshavin;905; Screambeem Classics;0;
6194;Khalid Boulahrouz;901; Fireblast Classics;0;
6263;Thomas Vermaelen;904; Wildcats Classics;0;
6337;Philipp Lahm;902; Warmstorm Classics;0;
6344;Aleksandr Hleb;901; Fireblast Classics;0;
6408;Per Mertesacker;900; Rainmakers Classics;0;
6526;Lukas Podolski;0;;0;
6693;Goran Pandev;900; Rainmakers Classics;0;
6772;Diego Milito;902; Warmstorm Classics;0;
7056;Javier Mascherano;903; Powerball Classics;0;
7072;Maicon;901; Fireblast Classics;0;
7084;Felipe Melo;0;;0;
7149;Roberto Donadoni;909; Monsters Classics;0;
7225;Joleon Lescott;908; Thunderstrike Classics;0;
7255;Maxi Rodríguez;907; Predators Classics;0;
7303;Gabi;903; Powerball Classics;0;
7312;Dani Alves;904; Wildcats Classics;0;
7318;Julio Baptista;908; Thunderstrike Classics;0;
7327;Jesús Navas;909; Monsters Classics;0;
7329;Sergio Ramos;0;;0;
7444;David Villa;904; Wildcats Classics;0;
7474;Nenê;0;;0;
7511;Lionel Messi;5738;Inter Miami CF;50;Argentina
7814;Dante;217;OGC Nice;0;
7834;Emmanuel Adebayor;1081;Togo;0;
7941;Scott Carson;0;;0;
7959;Cesc Fàbregas;901; Fireblast Classics;0;
7973;José Antonio Reyes;905; Screambeem Classics;0;
8421;K. Huntelaar;902; Warmstorm Classics;0;
8574;Hugo Lloris;5741;Los Angeles FC;0;
8639;Gerard Piqué;905; Screambeem Classics;0;
8771;Marco Storari;903; Powerball Classics;0;
8820;Raul Meireles;900; Rainmakers Classics;0;
8823;Paolo Guerrero;2287;Club Alianza Lima;0;
8843;Jonathan Pitroipa;0;;0;
8851;Giorgio Chiellini;902; Warmstorm Classics;0;
8940;Hatem Ben Arfa;909; Monsters Classics;0;
8944;Karim Benzema;1489;Al Hilal SFC;0;
8946;Samir Nasri;909; Monsters Classics;0;
8959;Daniele Padelli;190;Udinese Calcio;0;
8978;Samir Handanovič;909; Monsters Classics;0;
8984;Asamoah Gyan;909; Monsters Classics;0;
9034;Vágner Love;0;;0;
9042;Kasper Schmeichel;131;Celtic FC;0;
9060;Bruno Alves;905; Screambeem Classics;0;
9129;Franck Ribéry;904; Wildcats Classics;0;
9133;Pepe;909; Monsters Classics;0;
9138;João Moutinho;1974;Sporting Braga;0;
9167;Remko Pasveer;349;Heracles Almelo;0;
9193;Filipe Luís;901; Fireblast Classics;0;
9226;Pichu Cuéllar;261;RCD Mallorca;0;
9242;Raúl García;909; Monsters Classics;0;
9248;Andrea Consigli;0;;0;
9308;Diego López;909; Monsters Classics;0;
9317;Arda Turan;900; Rainmakers Classics;0;
9341;Mario Gómez;905; Screambeem Classics;0;
9375;Santi Cazorla;4260;Real Oviedo;0;
9534;Craig Gordon;1221;Heart of Midlothian;0;
11055;Keisuke Honda;909; Monsters Classics;0;
12663;Jung Sung-Ryong;0;;0;
12674;Koo Ja-Cheol;0;;0;
15033;Hiroki Iikura;152;Yokohama F. Marinos;0;
15038;Hulk;1245;Atlético Mineiro;0;
15075;Akihiro Ienaga;163;Kawasaki Frontale;0;
15097;Shusaku Nishikawa;147;Urawa Red Diamonds;0;
15159;Hisashi Jogo;169;Avispa Fukuoka;0;
15224;Atomu Tanaka;0;;0;
15261;Masato Morishige;150;FC Tokyo;0;
15296;Yohei Takeda;155;Nagoya Grampus;0;
15320;Shinji Kagawa;168;Cerezo Osaka;0;
15433;Maya Yoshida;4155;Los Angeles Galaxy;0;
15446;Takashi Inui;158;Vissel Kobe;0;
15452;Shun Nagasawa;156;Kyoto Sanga;0;
15527;Shu Kurata;157;Gamba Osaka;0;
15533;Keisuke Shimizu;0;;0;
15791;Kota Mizunuma;0;;0;
15814;Yuto Nagatomo;150;FC Tokyo;0;
15827;Hiroki Miyazawa;0;;0;
15882;Kazunari Ohno;165;Shonan Bellmare;0;
15884;Michael James;167;Albirex Niigata;0;
15893;Hiroshi Kiyotake;0;;0;
15900;Yutaka Yoshida;153;Shimizu S-Pulse;0;
15957;Takumi Miyayoshi;0;;0;
15958;Kazuya Yamamura;0;;0;
15971;Kim Young-Gwon;69710;Ulsan HD FC;0;
16011;Tsuyoshi Kodama;0;;0;
16020;Yu Kobayashi;163;Kawasaki Frontale;0;
16022;Han Kook-Young;0;;0;
16035;Yoshifumi Kashiwa;0;;0;
16054;Kim Min-Woo;0;;0;
16075;Takuya Okamoto;0;;0;
16093;Akimi Barada;165;Shonan Bellmare;0;
16094;Goro Kawanami;1881;Fagiano Okayama;0;
16095;Ryosuke Yamanaka;155;Nagoya Grampus;0;
16100;Takahiro Ohgihara;158;Vissel Kobe;0;
16114;Yoshiaki Takagi;4941;BG Pathum United;0;
16171;Ali Khaseif;0;;0;
16173;Khaled Al Senaani;70924;Al Wasl FC;0;
16181;Hamdan Al Kamali;0;;0;
16182;Adel Al Hosani;71212;Sharjah FC;0;
16185;M. Abdulrahman;0;;0;
16219;Oh Jae-Suk;5912;Daejeon Hana Citizen;0;
16286;Keijiro Ogawa;0;;0;
16303;Yuki Kobayashi;4115;Tampines Rovers;0;
16342;Hiroaki Okuno;165;Shonan Bellmare;0;
16345;Gen Shoji;2372;Machida Zelvia;0;
16346;Gaku Shibasaki;146;Kashima Antlers;0;
16359;Kwon Han-Jin;0;;0;
16362;Akito Fukumori;0;;0;
16364;Ryota Oshima;163;Kawasaki Frontale;0;
16372;Kentaro Moriya;0;;0;
16375;Yuto Suzuki;165;Shonan Bellmare;0;
16379;Yuki Horigome;0;;0;
16387;Noriyoshi Sakai;0;;0;
16393;Hiroki Yamada;0;;0;
16422;Shunta Awaka;0;;0;
16424;Tatsuki Nara;169;Avispa Fukuoka;0;
16426;Takuma Arano;0;;0;
16431;Tsukasa Shiotani;159;Sanfrecce Hiroshima;0;
16452;Haruya Ide;158;Vissel Kobe;0;
16453;Kento Hashimoto;150;FC Tokyo;0;
16456;Shota Arai;158;Vissel Kobe;0;
16472;Kosuke Onose;165;Shonan Bellmare;0;
16474;Wataru Endo;103;Liverpool FC;0;
16491;Daichi Sugimoto;0;;0;
16496;Yuji Takahashi;153;Shimizu S-Pulse;0;
16497;Jung Woo-Young;0;;0;
16499;Yoshiaki Komai;164;Yokohama FC;0;
16500;Riki Harakawa;149;Kashiwa Reysol;0;
16501;Yuya Kubo;0;;0;
16530;Hayato Nakama;149;Kashiwa Reysol;0;
16536;Ken Matsubara;152;Yokohama F. Marinos;0;
16538;Hirotaka Tameda;0;;0;
16541;Naoto Kamifukumoto;165;Shonan Bellmare;0;
16546;Jang Hyun-Soo;67024;Al Gharafa SC;0;
16555;Heberty;70484;Johor Darul Ta'zim;0;
16572;Yuichi Maruyama;163;Kawasaki Frontale;0;
16576;Kim Jin-Su;0;;0;
16577;Musashi Suzuki;164;Yokohama FC;0;
16578;Sho Sasaki;159;Sanfrecce Hiroshima;0;
16595;Hwang Seok-ho;0;;0;
16597;Kazuki Oiwa;165;Shonan Bellmare;0;
16599;Baek Sung-Dong;0;;0;
16625;Shinya Yajima;0;;0;
16644;Masashi Kamekawa;0;;0;
16650;Tomoya Inukai;149;Kashiwa Reysol;0;
16652;Ryohei Shirasaki;2372;Machida Zelvia;0;
16657;Shun Takagi;0;;0;
16691;Koya Kazama;4115;Tampines Rovers;0;
16715;Takeshi Kanamori;0;;0;
16726;Gakuto Notsuda;4941;BG Pathum United;0;
16728;Takuma Asano;261;RCD Mallorca;0;
16731;Yuzuru Shimada;0;;0;
16741;Ri Yong-Jik;0;;1012;North Korea
16750;Ahn Young-Kyu;71450;Gwangju FC;0;
16774;Kengo Nagai;149;Kashiwa Reysol;0;
16792;Takuya Kida;152;Yokohama F. Marinos;0;
16799;Yuki Honda;153;Shimizu S-Pulse;0;
16800;Takumi Minamino;112;AS Monaco;0;
16801;Gu Sung-Yun;0;;0;
16809;Hiroki Akino;169;Avispa Fukuoka;0;
16814;Kazuki Kozuka;153;Shimizu S-Pulse;0;
16815;Naoki Kawaguchi;0;;0;
16817;Ayumi Niekawa;147;Urawa Red Diamonds;0;
16822;Yuta Toyokawa;0;;0;
16823;Naomichi Ueda;146;Kashima Antlers;0;
16830;Junki Kanayama;0;;0;
16835;Ibuki Fujita;1881;Fagiano Okayama;0;
16836;Genta Miura;157;Gamba Osaka;0;
16851;Shoya Nakajima;147;Urawa Red Diamonds;0;
16852;Kyohei Yoshino;168;Cerezo Osaka;0;
16855;Naoki Maeda;159;Sanfrecce Hiroshima;0;
16857;William Popp;165;Shonan Bellmare;0;
16858;Yuki Nogami;155;Nagoya Grampus;0;
16859;Tsubasa Shibuya;0;;0;
16862;Masaya Matsumoto;1881;Fagiano Okayama;0;
16864;Hirotaka Mita;0;;0;
16868;Kazuki Fukai;0;;0;
16869;Yuto Horigome;167;Albirex Niigata;0;
16873;Takuya Iwanami;158;Vissel Kobe;0;
16877;Gakuji Ota;156;Kyoto Sanga;0;
17003;Felix Götze;0;;0;
17009;Palkó Dardai;0;;0;
17010;Moritz Nicolas;225;Borussia Mönchengladbach;0;
17034;K. Ama Tchoutchoui;0;;0;
17038;Adewale Olufade;0;;0;
17068;Sidi Sané;0;;0;
17195;Sattam Al Shammari;9014;Al Fayha FC;0;
17196;Bishal Shrestha;1021;Nepal;0;
17197;Biraj Maharjan;0;;0;
17198;Kamal Shrestha;0;;0;
17199;Dinesh Rajbanshi;0;;0;
17200;Gabriel Vareta;70924;Al Wasl FC;0;
17201;Maziar Kouhyar;0;;0;
17202;Mosawer Ahadi;1001;Afghanistan;0;
17203;Rajendra Rawal;1021;Nepal;0;
17204;Jagajeet Shrestha;0;;0;
17205;Bikram Lama;0;;0;
17206;Bishal Rai;0;;0;
17207;Heman Gurung;1021;Nepal;0;
17208;Sunil Bal;0;;0;
17209;Thapa Magar;0;;0;
17210;Bikesh Kuthu;1021;Nepal;0;
17254;Kevin Akpoguma;4126;TSG 1899 Hoffenheim;0;
17255;Kevin Vogt;0;;0;
17256;Dennis Geiger;1219;Aberdeen FC;0;
17259;David Nemeth;4139;FC St. Pauli;0;
17264;Paul Nebel;436;FSV Mainz 05;0;
17292;Vincenzo Grifo;227;SC Freiburg;0;
17296;Leonardo Bittencourt;185;SV Werder Bremen;0;
17554;Florian Schock;0;;0;
17555;Li Ruiyue;0;;0;
17557;Luca Itter;0;;0;
17559;Felix Klaus;0;;0;
17574;Arne Maier;0;;0;
17592;Rotana Sor;1006;Cambodia;0;
17600;Luca Netz;389;Nottingham Forest;0;
17604;Stefan Bell;436;FSV Mainz 05;0;
17608;Robin Zentner;436;FSV Mainz 05;0;
17614;Florian Müller;227;SC Freiburg;0;
17620;Ihlas Bebou;4126;TSG 1899 Hoffenheim;0;
17630;Sarenren Bazee;0;;0;
17632;Alexander Schwolow;1221;Heart of Midlothian;0;
17635;Lukas Kübler;227;SC Freiburg;0;
17638;Nicolas Höfler;227;SC Freiburg;0;
17643;Diego Santis;0;;0;
17645;Dominique Heintz;4137;FC Köln;0;
17646;Keven Schlotterbeck;4124;FC Augsburg;0;
17652;Janik Haberer;4140;FC Union Berlin;0;
17653;Kevin Ehlers;0;;0;
17655;Lucas Höler;227;SC Freiburg;0;
17656;F. Niederlechner;0;;0;
17659;Jean Zimmer;0;;0;
17660;Niko Gießelmann;0;;0;
17675;Kevin Stöger;225;Borussia Mönchengladbach;0;
17848;Noah Weisshaupt;0;;0;
17851;David Mamutovic;0;;0;
17852;Robert Leipertz;0;;0;
30113;Rodrigo Palacio;909; Monsters Classics;0;
30173;Diego Lugano;904; Wildcats Classics;0;
30199;Yuri Zhirkov;909; Monsters Classics;0;
30210;Yaya Touré;905; Screambeem Classics;0;
30235;Gonzalo Castro;901; Fireblast Classics;0;
30277;Fernando Llorente;900; Rainmakers Classics;0;
30323;Kévin Gameiro;0;;0;
30625;Bader Al Mutawa;0;;1013;Kuwait
30629;Hassan Sunny;0;;0;
30653;Siwarak Tedsungnoen;0;;0;
31044;Radamel Falcao;1258;Millonarios FC;0;
31052;Fernandinho;0;;0;
31169;Markus Rosenberg;901; Fireblast Classics;0;
31378;Andrea Masiello;4228;FC Südtirol;0;
31427;Kazuhiko Chiba;167;Albirex Niigata;0;
31899;Zeng Cheng;5173;Shanghai Shenhua;0;
32157;Brandon Borrello;0;;0;
32159;Blaise Matuidi;900; Rainmakers Classics;0;
32299;Sherif Ekramy;0;;0;
32313;Mousa Dembélé;909; Monsters Classics;0;
32339;Nuri Şahin;908; Thunderstrike Classics;0;
32354;K. Prince Boateng;909; Monsters Classics;0;
32386;John Ruddy;106;Newcastle United;0;
32395;Stephan Lichtsteiner;900; Rainmakers Classics;0;
32462;Lassana Diarra;905; Screambeem Classics;0;
32478;Rais M'Bolhi;0;;0;
32485;Tim Krul;0;;0;
32493;Ezequiel Lavezzi;903; Powerball Classics;0;
32586;João Miranda;907; Predators Classics;0;
32607;Nani;909; Monsters Classics;0;
32664;Ricardo Batista;5633;Casa Pia AC;0;
32764;Salvatore Sirigu;0;;0;
32782;Hugo Rodallega;2657;Independiente Santa Fe;0;
32836;Daniel Agger;900; Rainmakers Classics;0;
33075;Lorenzo De Silvestri;186;Bologna FC;0;
33079;Leonardo Bonucci;909; Monsters Classics;0;
33114;Cristián Zapata;0;;0;
33167;J. de Guzman;351;Sparta Rotterdam;0;
33185;Manuel Neuer;127;Bayern München;0;
33237;David Silva;907; Predators Classics;0;
33291;Thomas Mangani;0;;0;
33301;Régis Gurtner;182;RC Lens;0;
33328;Júlio César;905; Screambeem Classics;0;
33491;Gabriel Torres;0;;0;
33555;Hao Junmin;0;;0;
33579;Majed Naser;0;;1032;United Arab Emirates
33633;Gonzalo Higuaín;901; Fireblast Classics;0;
33643;Mehdi Benatia;904; Wildcats Classics;0;
33700;Theo Walcott;909; Monsters Classics;0;
33702;Sergio Agüero;900; Rainmakers Classics;0;
33784;Roberto Soldado;905; Screambeem Classics;0;
33799;Marek Hamšík;902; Warmstorm Classics;0;
33876;Vito Mannone;0;;0;
34098;Luka Modrić;121;AC Milan;24;Croatia
34102;Guillermo Ochoa;0;;40;Mexico
34135;Martin Olsson;0;;0;
34424;Mahmoud Khamis;0;;1032;United Arab Emirates
34430;Óscar Ustari;0;;0;
34437;Łukasz Fabiański;105;West Ham United;0;
34475;Diego Godín;904; Wildcats Classics;0;
34544;Jérémy Morel;1065;Madagascar;0;
34611;Dimitri Payet;0;;0;
34641;Ashley Young;386;Ipswich Town;0;
34799;José Fonte;5633;Casa Pia AC;0;
