Id;Name;Country;JapName;Adaptability;Photo;Photo_file;EditName;EditCountry;EditPhoto;EditIntern;Value1;Value2;Value3;Value4;Value5;Value6
210;Artur Jorge;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
216;Pep Guardiola;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
218;César Peixoto;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
222;Víctor Rivero;147;;0;-1;;False;False;False;False;0;6;0;0;0;0
226;Stanislav Cherchesov;230;;0;-1;;False;False;False;False;0;6;0;0;0;0
229;Nicolás Larcamón;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
235;Thiago Carpini;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
236;José Lana;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
237;Jagoba Arrasate;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
239;Éric Roy;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
240;Eddie Howe;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
241;Shao Jiayi;7;;0;-1;;False;False;False;False;0;6;0;0;0;0
242;Thierry Debès;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
243;Paulo Autuori;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
244;Carles Martínez;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
246;Olivier Pantaloni;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
247;Christophe Pélissier;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
254;José Juan Romero;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
262;Régis Le Bris;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
264;Hélio Sousa;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
266;André Jardine;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
269;Barros Schelotto;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
274;David González;148;;0;-1;;False;False;False;False;0;6;0;0;0;0
281;Patrick Kluivert;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
294;Sabri Lamouchi;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
297;Paulo Fonseca;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
299;Julen Lopetegui;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
302;Fabien Dagneaux;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
304;Mozart Júnior;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
307;Martín Anselmi;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
309;Sotiris Sylaidopoulos;211;;0;-1;;False;False;False;False;0;6;0;0;0;0
311;Tiago Margarido;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
312;Rui Vitória;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
313;Juan José Ribera;147;;0;-1;;False;False;False;False;0;6;0;0;0;0
314;Vladimir Weiss;234;;0;-1;;False;False;False;False;0;6;0;0;0;0
316;Michael Hansen;203;;0;-1;;False;False;False;False;0;6;0;0;0;0
318;Gustavo Lema;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
321;Rubén Sellés;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
325;Sergen Yalçın;190;;0;-1;;False;False;False;False;0;6;0;0;0;0
350;Steven Pressley;232;;0;-1;;False;False;False;False;0;6;0;0;0;0
353;Qurban Qurbanov;195;;0;-1;;False;False;False;False;0;6;0;0;0;0
354;Francesco Modesto;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
357;Julien Stéphan;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
363;Bruno Baltazar;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
374;Chris Wilder;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
380;Quique Setién;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
389;Nuno Santo;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
392;Claude Puel;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
395;Lee-Roy Echteld;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
396;Marcelo Bielsa;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
412;Jonathan Risueño;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
414;Alessio Lisci;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
417;John Mousinho;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
422;Tiago Nunes;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
425;Mattia Croci-Torti;238;;0;-1;;False;False;False;False;0;6;0;0;0;0
430;Emerse Faé;56;;0;-1;;False;False;False;False;0;6;0;0;0;0
431;Michael Bradley;135;;0;-1;;False;False;False;False;0;6;0;0;0;0
435;Cosmin Olăroiu;229;;0;-1;;False;False;False;False;0;6;0;0;0;0
436;Maurizio Sarri;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
446;João Henriques;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
451;Diego Aguirre;152;;0;-1;;False;False;False;False;0;6;0;0;0;0
471;Abel Ferreira;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
484;Nicola Calabro;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
485;Wedson Nyirenda;94;;0;-1;;False;False;False;False;0;6;0;0;0;0
486;Liu Jianye;7;;0;-1;;False;False;False;False;0;6;0;0;0;0
489;Valeriy Karpin;230;;0;-1;;False;False;False;False;0;6;0;0;0;0
498;Eduardo Domínguez;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
501;Michael Carrick;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
502;Rob Edwards;241;;0;-1;;False;False;False;False;0;6;0;0;0;0
505;Javier Rabanal;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
509;Hernán Herrera;148;;0;-1;;False;False;False;False;0;6;0;0;0;0
517;Sven Vandenbroeck;197;;0;-1;;False;False;False;False;0;6;0;0;0;0
518;Rogério Corrêa;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
521;Luizinho Lopes;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
535;Yu Genwei;7;;0;-1;;False;False;False;False;0;6;0;0;0;0
599;Vagner Mancini;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
600;Rodrigo Santana;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
603;Didier Deschamps;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
604;Murat Yakin;238;;0;-1;;False;False;False;False;0;6;0;0;0;0
605;Tarik Sektioui;76;;0;-1;;False;False;False;False;0;6;0;0;0;0
606;Zlatko Dalic;200;;0;-1;;False;False;False;False;0;6;0;0;0;0
608;Ashley Westwood;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
609;Vítor Matos;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
610;Igor Kudrenko;40;;0;-1;;False;False;False;False;0;6;0;0;0;0
1045;Michael O'Neill;225;;0;-1;;False;False;False;False;0;6;0;0;0;0
1046;Rogério Ceni;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
1141;Antonio Gómez;236;;0;-1;;False;False;False;False;0;0;0;0;0;0
1169;Guoxu Li;7;;0;-1;;False;False;False;False;0;6;0;0;0;0
1170;Matthias Jaissle;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
1172;Christophe Galtier;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
1173;Alberto Aquilani;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
1175;Gary O'Neil;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
1176;Maurice Steijn;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
1177;Rudi Garcia;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
1178;Ricardo Rodríguez;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
1179;Flavio Robatto;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
1180;Rasmus Bertelsen;203;;0;-1;;False;False;False;False;0;6;0;0;0;0
1183;Dick Schreuder;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
1195;Igor Tudor;200;;0;-1;;False;False;False;False;0;6;0;0;0;0
1197;Pierre Sage;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
1203;Álvaro Recoba;152;;0;-1;;False;False;False;False;0;6;0;0;0;0
1207;Sylvinho;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
1211;Iván Ania;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
1212;Damien Johnson;225;;0;-1;;False;False;False;False;0;6;0;0;0;0
1213;Alfredo Berti;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
1214;Craig Bellamy;241;;0;-1;;False;False;False;False;0;6;0;0;0;0
1215;Takuya Takagi;13;;0;-1;;False;False;False;False;0;6;0;0;0;0
1258;Cláudio Tencati;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
2235;Urs Fischer;238;;0;-1;;False;False;False;False;0;6;0;0;0;0
2354;Victor Mihailov;223;;0;-1;;False;False;False;False;0;6;0;0;0;0
2362;Albert Riera;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
2373;Steve McClaren;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
2399;Adi Hütter;194;;0;-1;;False;False;False;False;0;6;0;0;0;0
2400;Julian Nagelsmann;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
34653;Filipe Luís;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
34715;Simón Elissetche;147;;0;-1;;False;False;False;False;0;6;0;0;0;0
34720;Hossam Hassan;58;;0;-1;;False;False;False;False;0;6;0;0;0;0
34742;Fernando Santos;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
34782;Jacob Friis;203;;0;-1;;False;False;False;False;0;6;0;0;0;0
34784;Thomas Christiansen;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
34863;Gernot Rohr;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
34924;Steve Clarke;232;;0;-1;;False;False;False;False;0;6;0;0;0;0
35132;Onur Cinel;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
35180;Gonzalo García;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
35246;Vladimir Petkovic;198;;0;-1;;False;False;False;False;0;6;0;0;0;0
35270;Graham Arnold;162;;0;-1;;False;False;False;False;0;6;0;0;0;0
35452;Heimir Hallgrímsson;213;;0;-1;;False;False;False;False;0;6;0;0;0;0
35457;Joaquín Monasterio;145;;0;-1;;False;False;False;False;0;6;0;0;0;0
35459;Scott Parker;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
35502;Zoumana Camara;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
35548;Arthur Papas;162;;0;-1;;False;False;False;False;0;6;0;0;0;0
35738;Dorival Júnior;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
35739;Jan Urban;227;;0;-1;;False;False;False;False;0;6;0;0;0;0
35941;Joaquín Papa;152;;0;-1;;False;False;False;False;0;6;0;0;0;0
35952;Éric Chelle;73;;0;-1;;False;False;False;False;0;6;0;0;0;0
35953;Félix Sánchez Bas;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
35954;Martin Falk;237;;0;-1;;False;False;False;False;0;6;0;0;0;0
35955;Zaur Tedeev;230;;0;-1;;False;False;False;False;0;6;0;0;0;0
35964;Luis Milla;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
36124;Gustavo Alfaro;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
36214;Marc Dos Santos;110;;0;-1;;False;False;False;False;0;6;0;0;0;0
36270;Dragan Stojković;303;;0;-1;;False;False;False;False;0;6;0;0;0;0
36271;Lionel Scaloni;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
36272;Koldo Álvarez;192;;0;-1;;False;False;False;False;0;6;0;0;0;0
36273;Roberto Cevoli;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
36274;Willy Sagnol;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
36284;Scott Wiseman;245;;0;-1;;False;False;False;False;0;6;0;0;0;0
36285;Gregg Berhalter;135;;0;-1;;False;False;False;False;0;6;0;0;0;0
36286;Marco Rossi;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
36288;Ran Ben Shimon;189;;0;-1;;False;False;False;False;0;6;0;0;0;0
36289;Franco Foda;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
36290;Luc Holtz;220;;0;-1;;False;False;False;False;0;6;0;0;0;0
36294;Allan Aal;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
36295;Blagoja Milevski;221;;0;-1;;False;False;False;False;0;6;0;0;0;0
36296;Emilio De Leo;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
36297;Ariel Broggi;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
36298;Juan David Niño;148;;0;-1;;False;False;False;False;0;6;0;0;0;0
36299;Kim Hellberg;237;;0;-1;;False;False;False;False;0;6;0;0;0;0
36301;Eyoun Klakstein;206;;0;-1;;False;False;False;False;0;6;0;0;0;0
36344;Konrad Funfstuck;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
36346;Edgaras Jankauskas;219;;0;-1;;False;False;False;False;0;6;0;0;0;0
36347;Stephan Lichtsteiner;238;;0;-1;;False;False;False;False;0;6;0;0;0;0
36348;Matjaz Kek;235;;0;-1;;False;False;False;False;0;6;0;0;0;0
36349;Miroslav Koubek;202;;0;-1;;False;False;False;False;0;6;0;0;0;0
36627;Souleymane Camara;65;;0;-1;;False;False;False;False;0;6;0;0;0;0
36628;Jalel Kadri;92;;0;-1;;False;False;False;False;0;6;0;0;0;0
36629;Marcelo Copertino;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
36630;Alexander Zorniger;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
36631;Carlos Alós;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
36632;Eghishe Melikyan;193;;0;-1;;False;False;False;False;0;6;0;0;0;0
36634;Brama Traoré;48;;0;-1;;False;False;False;False;0;6;0;0;0;0
36635;Serghei Clescenco;223;;0;-1;;False;False;False;False;0;6;0;0;0;0
36636;Sérgio Conceição;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
36638;Hugo Broos;87;;0;-1;;False;False;False;False;0;6;0;0;0;0
36640;Darren Bazeley;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
36643;Péricles Chamusca;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
90000;Javier Mascherano;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
90002;Juan Funes;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
90003;Bruce Arena;135;;0;-1;;False;False;False;False;0;6;0;0;0;0
90004;Apostolos Mantzios;238;;0;-1;;False;False;False;False;0;6;0;0;0;0
90006;Pablo García;152;;0;-1;;False;False;False;False;0;6;0;0;0;0
90007;Christian Titz;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
90008;Giannis Anastasiou;211;;0;-1;;False;False;False;False;0;6;0;0;0;0
90011;Milan Rastavac;303;;0;-1;;False;False;False;False;0;6;0;0;0;0
90012;Konstantinos Bratsos;211;;0;-1;;False;False;False;False;0;6;0;0;0;0
90013;Nikolaos Papadopoulos;211;;0;-1;;False;False;False;False;0;6;0;0;0;0
90014;Lucas Gonçalves;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
90016;Per-Mathias Høgmo;226;;0;-1;;False;False;False;False;0;6;0;0;0;0
90017;Christian Ilzer;194;;0;-1;;False;False;False;False;0;6;0;0;0;0
90018;Savvas Pantelidis;211;;0;-1;;False;False;False;False;0;6;0;0;0;0
90020;Paolo Vanoli;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
90022;Kosta Runjaić;194;;0;-1;;False;False;False;False;0;6;0;0;0;0
90023;Gary Rowett;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
90024;Francesco Calzona;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
90025;Ilias Charalampous;201;;0;-1;;False;False;False;False;0;6;0;0;0;0
90026;Romuald Rakotondrabe;71;;0;-1;;False;False;False;False;0;6;0;0;0;0
90027;Gustavo Poyet;152;;0;-1;;False;False;False;False;0;6;0;0;0;0
90028;Saad Al Shehri;31;;0;-1;;False;False;False;False;0;6;0;0;0;0
90031;Néstor Lorenzo;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
90032;Pablo Hernández;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
90033;Fernando Batista;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
90034;Óscar Villegas;145;;0;-1;;False;False;False;False;0;6;0;0;0;0
90037;Eduardo Barros;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
90038;Pedro Martins;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
90039;Carl Hoefkens;197;;0;-1;;False;False;False;False;0;6;0;0;0;0
100001;F. Merlin;215;;0;-1;;False;False;False;False;0;2;0;0;0;0
100002;W. Burgoyne;204;;0;-1;;False;False;False;False;0;2;0;0;0;0
100003;Hayk Milkon;193;;0;-1;;False;False;False;False;0;6;0;0;0;0
100004;Nicolás Córdova;147;;0;-1;;False;False;False;False;0;6;0;0;0;0
100005;Zhi Zheng;7;;0;-1;;False;False;False;False;0;6;0;0;0;0
100006;Amir Ghalenoei;11;;0;-1;;False;False;False;False;0;6;0;0;0;0
100007;Paolo Nicolato;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
100008;Vincenzo Annese;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
100009;Dragan Talajic;200;;0;-1;;False;False;False;False;0;6;0;0;0;0
100010;Koji Gyotoku;13;;0;-1;;False;False;False;False;0;6;0;0;0;0
100011;Khalid Jamil;17;;0;-1;;False;False;False;False;0;6;0;0;0;0
100012;Robert Prosinecki;200;;0;-1;;False;False;False;False;0;6;0;0;0;0
100013;Myo Hlaing Win;24;;0;-1;;False;False;False;False;0;6;0;0;0;0
100014;Matt Ross;162;;0;-1;;False;False;False;False;0;6;0;0;0;0
100015;Nolberto Solano;151;;0;-1;;False;False;False;False;0;6;0;0;0;0
100016;Martin O'Neill;225;;0;-1;;False;False;False;False;0;6;0;0;0;0
100025;G. Lohner;210;;0;-1;;False;False;False;False;0;0;0;0;0;0
100026;Phil Neville;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
100028;Óscar Pareja;148;;0;-1;;False;False;False;False;0;6;0;0;0;0
100029;Eric Quill;135;;0;-1;;False;False;False;False;0;6;0;0;0;0
100030;Julian Schuster;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
100031;Yoshiyuki Kobayashi;13;;0;-1;;False;False;False;False;0;6;0;0;0;0
100032;Jakob Poulsen;203;;0;-1;;False;False;False;False;0;6;0;0;0;0
100033;Steffen Baumgart;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
100034;Fabio Ingolitsch;194;;0;-1;;False;False;False;False;0;6;0;0;0;0
100035;Lukas Kwasniok;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
100036;Manolo Márquez;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
100037;Gela Shekiladze;209;;0;-1;;False;False;False;False;0;6;0;0;0;0
100038;João Nuno;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
100039;Jens Wissing;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
100040;Vu Hong Viet;38;;0;-1;;False;False;False;False;0;6;0;0;0;0
100041;Merlin Polzin;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
100042;Hiroshi Jofuku;13;;0;-1;;False;False;False;False;0;6;0;0;0;0
100043;Yu Hoshide;13;;0;-1;;False;False;False;False;0;6;0;0;0;0
100044;Ernest Faber;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
100045;Diego Arias;148;;0;-1;;False;False;False;False;0;6;0;0;0;0
100046;Bob Bradley;135;;0;-1;;False;False;False;False;0;6;0;0;0;0
100047;Greg Vanney;135;;0;-1;;False;False;False;False;0;6;0;0;0;0
100048;Rikizo Matsuhashi;13;;0;-1;;False;False;False;False;0;6;0;0;0;0
